cty code,cty,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3071,AR: Johnson County,0,0.67,63.15,4.54,0,0,0,7.09,2.43,20.51,0.16,2.19,0,0,0,0,29.63,0,0,0,0,14.13,0,29.5,48.93,0,0,0,0,0
3073,AR: Lafayette County,0,6.51,22.89,0,0,0,0,0.95,9.05,18.68,0,13.08,0,0,0,0,23.15,0,0,0,0,0.41,0.02,0,17.41,0,0,0,0,0
3075,AR: Lawrence County,0,7.45,70.25,5.64,0,0,0,5.29,6.51,5.24,0,8.61,0,0,0,0,28.79,0,0,0,2.06,13.47,0,19.77,43.02,0,0,0,0,0
3077,AR: Lee County,0,49.13,39.7,4.19,0,0,0,0.9,13.98,17.7,0,13.2,0,0,0,0,26.36,0,0,0,0.29,8.94,0,0.66,41.72,0,0,0,0,0
3079,AR: Lincoln County,0,37.05,31.27,0,0,0,0,1.78,13.18,17.32,0,19.68,0,0,0,0,26.62,0,0,0,0.25,1.47,0,0,25.3,0,0,0,0,0
3081,AR: Little River County,0,8.74,26.04,0,0,0,0,7.35,19.08,9.58,0,7.57,0,0,0,0,23.73,0,0,0,0,1.86,0.39,0,28.92,0,0,0,0,0
3083,AR: Logan County,0,4.22,90.72,3.76,0,0,0,4.38,4.13,16.44,0.02,1.97,0,0,0,0,23.56,0,0,0,0,5.23,0,19.28,41.65,0,0,0,0,0
3085,AR: Lonoke County,0,38.31,48.97,2.88,0,0,0,1.11,12.17,16.27,0,11.67,0,0,0,0,33.75,0,0,0,0.45,4.32,0,1.49,37.91,0,0,0,0,0
3087,AR: Madison County,0,0,72.54,5.53,0,0,0,12.56,0.78,10.83,0.74,1.14,0,0,0,0,17.82,0,0,0,0,6.27,0,35.72,37.22,0,0,0,0,0
3089,AR: Marion County,0,0.38,77.19,6.46,0,0,0.04,11.52,1.72,5.67,0.17,1.98,0,0,0,0.01,13.89,0,0,0,1.76,5.82,0.01,33.49,49.35,0,0,0,0,0
3091,AR: Miller County,0,6.79,22.98,0,0,0,0,3.34,9.75,15.3,0,9.18,0,0,0,0,22.43,0,0,0,0,0.61,0.2,0,19.17,0,0,0,0,0
3093,AR: Mississippi County,0,22.18,42.28,7.39,0,0,0,0.42,6.81,7.52,0,9.51,0,0,0,0,26.58,0,0,0,0,22.93,0.89,6.25,49.83,0,0,0,0,0
3095,AR: Monroe County,0,46.05,42.35,2.84,0,0,0,1.12,12.51,15.98,0,11.8,0,0,0,0,26.75,0,0,0,0.33,5.61,0,1.07,37.64,0,0,0,0,0
3097,AR: Montgomery County,0,19.78,51.46,2.8,0,0,0,3.38,18.47,23.5,0,11.92,0,0,0,0,34.42,0,0,0,0,4.52,0,6.48,51.02,0,0,0,0,0
3099,AR: Nevada County,0,15.5,26,0,0,0,0,1.64,19.98,15.83,0,17.85,0,0,0,0,28.02,0,0,0,0,0.93,0.05,0,26.05,0,0,0,0,0
